#{"t_start": 1680915775.6917744, "env_id": null}
r,l,t
-2497,2500,2067.602035
-2474,2500,2109.274764
-2497,2500,2150.936749
-2497,2500,2192.616067
-2497,2500,2234.340824
-2497,2500,2276.066955
-2391,2500,2317.723798
-2489,2500,2359.421687
-2488,2500,2401.172929
-2500,2500,2442.886734
-2497,2500,2484.558947
-2497,2500,2526.284961
-2497,2500,2567.950732
-2497,2500,2609.616561
-2497,2500,2651.28272
-2496,2500,2692.948712
-2497,2500,2734.615817
-2263,2500,2776.276833
-2497,2500,2817.939631
-2497,2500,2859.605418
-2494,2500,2901.257693
-2497,2500,2942.943114
-2497,2500,2984.719597
-2497,2500,3026.402732
-2259,2500,3068.099828
-2239,2500,3109.774622
-2497,2500,3151.442439
-2497,2500,3193.106674
-2497,2500,3234.770787
-2190,2500,3276.438169
-2497,2500,3318.089293
-2258,2500,3359.814322
-2497,2500,3401.488816
-2498,2500,3443.154696
-2269,2500,3484.821166
-2499,2500,3526.53723
-2498,2500,3568.203002
-2475,2500,3609.935822
-2497,2500,3651.601194
-2497,2500,3693.261457
-2497,2500,3734.993976
-2497,2500,3776.710426
-2497,2500,3818.32462
-2499,2500,3859.99316
-2497,2500,3901.658093
-2493,2500,3943.324527
-2497,2500,3984.991028
-2493,2500,4026.661637
-2463,2500,4068.413443
-2497,2500,4110.078916
-2497,2500,4151.812549
-2500,2500,4193.495462
-2497,2500,4235.161234
-2497,2500,4276.826396
-2475,2500,4318.492784
-2497,2500,4360.160018
-2497,2500,4401.816454
-2202,2500,4443.524595
-2500,2500,4485.51384
-2497,2500,4527.19508
-2497,2500,4568.936623
-2494,2500,4610.600716
-2497,2500,4652.278331
-2301,2500,4693.9453
-2497,2500,4735.591399
-2231,2500,4777.263889
-2497,2500,4819.034504
-2497,2500,4860.854442
-2499,2500,4902.504943
-2497,2500,4944.251687
-2497,2500,4985.921951
-2497,2500,5027.571164
-2497,2500,5069.235942
-2497,2500,5110.963375
-2497,2500,5152.646252
-2476,2500,5194.299102
-2497,2500,5235.937486
-2206,2500,5277.650671
-2258,2500,5319.316023
-2498,2500,5360.982077
-2497,2500,5402.714476
-2497,2500,5444.452478
-2496,2500,5485.97624
-2470,2500,5527.645148
-2257,2500,5569.304403
-2497,2500,5610.968821
-2497,2500,5652.633765
-2497,2500,5694.373759
-2497,2500,5736.029864
-2497,2500,5777.696563
-2497,2500,5819.363007
-2251,2500,5861.027859
-2497,2500,5902.695238
-2427,2500,5944.362659
-2497,2500,5986.21616
-2497,2500,6027.714641
-2497,2500,6069.377915
-2499,2500,6111.043189
-2497,2500,6152.707036
-2497,2500,6194.37197
-2488,2500,8243.822918
-2481,2500,8285.557857
-2497,2500,8327.22234
-2318,2500,8368.903404
-2497,2500,8410.553592
-2498,2500,8452.216247
-2497,2500,8493.890233
-2498,2500,8535.571401
-2497,2500,8577.304608
-2498,2500,8618.971199
-2497,2500,8660.632654
-2497,2500,8702.360855
-2497,2500,8744.094905
-2497,2500,8785.760594
-2497,2500,8827.511232
-2497,2500,8869.176913
-2468,2500,8910.829548
-2239,2500,8952.496542
-2498,2500,8994.181776
-2497,2500,9035.847573
-2498,2500,9077.513705
-2243,2500,9119.179836
-2497,2500,9160.845838
-2231,2500,9202.512134
-2498,2500,9244.178104
-2497,2500,9285.911405
-2497,2500,9327.577777
-2497,2500,9369.286269
-2497,2500,9410.952665
-2500,2500,9452.617915
-2498,2500,9494.28352
-2331,2500,9535.951083
-2497,2500,9577.619695
-2497,2500,9619.268213
-2497,2500,9660.934921
-2497,2500,9702.602793
-2498,2500,9744.266203
-2485,2500,9785.935293
-2497,2500,9827.661561
-2497,2500,9869.328546
-2498,2500,9911.085501
-2498,2500,9952.751922
-2498,2500,9994.417908
-2497,2500,10036.084125
-2497,2500,10077.750135
-2497,2500,10119.416223
-2498,2500,10161.076282
-2497,2500,10202.740982
-2497,2500,10244.407471
-2498,2500,10286.14236
-2474,2500,10327.80613
-2497,2500,10369.52244
-2500,2500,10411.189662
-2497,2500,10452.917604
-2497,2500,10494.582496
-2269,2500,10536.25075
-2499,2500,10577.911555
-2226,2500,10619.584414
-2498,2500,10661.248329
-2206,2500,10702.907122
-2497,2500,10744.571635
-2497,2500,10786.236273
-2258,2500,10827.902898
-2498,2500,10869.572952
-2498,2500,10911.244642
-2499,2500,10952.899107
-2497,2500,10994.561519
-2497,2500,11036.253656
-2495,2500,11077.919733
-2497,2500,11119.587284
-2497,2500,11161.251321
-2497,2500,11202.919089
-2497,2500,11244.634502
-2453,2500,11286.300115
-2497,2500,11327.960855
-2254,2500,11369.623516
-2500,2500,11411.290683
-2500,2500,11453.023368
-2497,2500,11494.694777
-2497,2500,11536.354241
-2498,2500,11578.015794
-2497,2500,11619.688079
